unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
167,scene,cockpit-s,0.42772257630339255,black-c,139916835.0,3453493.0,1270156.0,0.0089384550498644,controls,151446.0,2209553.0,131509.0,0.05898613584272636,body,1291612.0,1064343.0,28048.0,0.01204859128822586,cockpit-s,539392.0,903236.0,432188.0,0.42772257630339255,studded,1593088.0,328603.0,28347.0,0.014971922693393277
102,scene,closet-s,0.3576136869886986,black-c,139916835.0,3408902.0,736025.0,0.005161838043406666,wardrobe,837414.0,1450502.0,195130.0,0.09323934697575385,drawer,540514.0,646200.0,15374.0,0.013125138730001536,closet-s,990976.0,980685.0,519362.0,0.3576136869886986,striped,2433536.0,381201.0,122012.0,0.04531171954061406
13,scene,ball_pit-s,0.33574818380852856,red-c,21004512.0,3555369.0,365764.0,0.015117890022603428,ball,122639.0,1337623.0,101819.0,0.07495272160848854,hair,989801.0,776624.0,31414.0,0.018105937080514188,ball_pit-s,275968.0,583057.0,215921.0,0.33574818380852856,dotted,2935296.0,1166233.0,409474.0,0.11090679851735687
445,object,bus,0.31021570202591064,black-c,139916835.0,3653655.0,973528.0,0.006827130019782609,bus,1628191.0,3372449.0,1183986.0,0.31021570202591064,coach,689166.0,2579370.0,57424.0,0.017882901624110277,airport_terminal-s,1480192.0,864704.0,221476.0,0.10430155127106272,,24924928.0,210440.0,208901.0,0.008380690291969577
284,scene,mountain_snowy-s,0.29113227763144905,blue-c,61494563.0,3559864.0,1341652.0,0.02105781768256052,mountain,5469345.0,3215484.0,1023504.0,0.13359360162896106,clouds,116722.0,669164.0,5605.0,0.0071833096025662535,mountain_snowy-s,1793792.0,2076785.0,872761.0,0.29113227763144905,lacelike,1530368.0,459131.0,38114.0,0.019531768461887325
273,scene,art_gallery-s,0.2794869609935185,brown-c,182265724.0,3311282.0,1004161.0,0.005440459023102776,painting,2207098.0,1694694.0,297249.0,0.08246510029149326,frame,136341.0,601620.0,11155.0,0.015347974562675594,art_gallery-s,953344.0,1193836.0,469023.0,0.2794869609935185,interlaced,1630720.0,201062.0,27677.0,0.015341124823666029
233,scene,skyscraper-s,0.27143522551116867,blue-c,61494563.0,3606703.0,868409.0,0.01351970067281921,skyscraper,1270392.0,2397118.0,623454.0,0.20481029258331648,windows,68737.0,208930.0,2786.0,0.010135294909433533,skyscraper-s,4402944.0,2003560.0,1367707.0,0.27143522551116867,spiralled,1605632.0,794516.0,67643.0,0.02900015219688704
448,scene,bakery-shop-s,0.26877613227528885,yellow-c,34166024.0,3405078.0,537194.0,0.014505463479576609,case,608750.0,796492.0,155866.0,0.12475507773480521,shop window,233888.0,183125.0,6673.0,0.016262124092216206,bakery-shop-s,715008.0,485442.0,254302.0,0.26877613227528885,waffled,1555456.0,672575.0,226934.0,0.11340479746858848
107,scene,highway-s,0.26044505654397,blue-c,61494563.0,3674693.0,633171.0,0.009811115750203936,road,12902886.0,3526733.0,1228533.0,0.08081876518559267,wheel,1513439.0,655163.0,14768.0,0.006856610119442817,highway-s,4076800.0,2177725.0,1292369.0,0.26044505654397,potholed,1580544.0,292240.0,57854.0,0.03187671149851509
219,scene,conference_room-s,0.2602132838246347,orange-c,30348501.0,3503765.0,254741.0,0.007582135886497592,table,4805122.0,2001986.0,443209.0,0.06964425425356373,top,381885.0,922580.0,59734.0,0.04798948527834528,conference_room-s,2308096.0,1714375.0,830574.0,0.2602132838246347,,24924928.0,38534.0,38106.0,0.0015288046437531323
